"Elden Ring;Action RPG;Playstation 5;2022-02-25;Elden Ring takes place in the realm of the Lands Between, sometime after the destruction of the titular Elden Ring and the scattering of its shards, the Great Runes. Once graced by the Ring and the Erdtree which symbolizes its presence, the realm is now ruled over by the demigod offspring of Queen Marika the Eternal, each possessing a shard of the Ring that corrupts and taints them with power. As Tarnished-exiles from the Lands Between who lost the Ring's grace and are summoned back after the Shattering, players must traverse the realm to ultimately find all the Great Runes, restore the Elden Ring, and become the Elden Lord.;97;99;https://upload.wikimedia.org/wikipedia/en/b/b9/Elden_Ring_Box_art.jpg"
"The Legend of Zelda: Ocarina of Time;Action-Adventure;Nintendo 64;1998-11-23;As a young boy, Link is tricked by Ganondorf, the King of the Gerudo Thieves. The evil human uses Link to gain access to the Sacred Realm, where he places his tainted hands on Triforce and transforms the beautiful Hyrulean landscape into a barren wasteland. Link is determined to fix the problems he helped to create, so with the help of Rauru he travels through time gathering the powers of the Seven Sages.;99;;https://m.media-amazon.com/images/I/71OKKIhYDZL._SX522_.jpg"
"Gran Turismo 7;Sim Racing;Playstation 5;2022-03-04;From classic vehicles and tracks to the reintroduction of the legendary GT Simulation Mode  GT 7 brings together the best features from past installments of the series alongside the future. An even more realistic driving experience awaits thanks to haptic feedback, which brings to life what its like when the tires hit the road. PS5s immersive 3D audio allows players to sense the position of other cars and drivers around them.;88;;https://upload.wikimedia.org/wikipedia/en/1/14/Gran_Turismo_7_cover_art.jpg"
"Destiny 2;First-Person-Shooter;PC;2017-10-24;In Destiny 2, the last safe city on Earth has fallen and lays in ruins, occupied by a powerful new enemy and his elite army, the Red Legion. Every player creates his own character called a Guardian, humanity's chosen protectors.;83;;https://upload.wikimedia.org/wikipedia/en/0/05/Destiny_2_%28artwork%29.jpg"
"Call of Duty: Modern Warfare (2019);First-Person-Shooter;Playstation 4;2019-10-25;Prepare to go dark, Modern Warfare is back! The stakes have never been higher as players take on the role of lethal Tier One operators in a heart-racing saga that will affect the global balance of power. Call of Duty: Modern Warfare engulfs fans in an incredibly raw, gritty, provocative narrative that brings unrivaled intensity and shines a light on the changing nature of modern war. Developed by the studio that started it all, Infinity Ward delivers an epic reimagining of the iconic Modern Warfare series from the ground up.;80;;https://upload.wikimedia.org/wikipedia/en/1/1f/Call_of_Duty_Modern_Warfare_%282019%29_cover.jpg"
"Grand Theft Auto 4;Action-Adventure;Playstation 3;2008-04-29;What does the American Dream mean today? For Niko Belic, fresh off the boat from Europe. It's the hope he can escape his past. For his cousin, Roman, it is the vision that together they can find fortune in Liberty City, gateway to the land of opportunity. As they slip into debt and are dragged into a criminal underworld by a series of shysters, thieves and sociopaths, they discover that the reality is very different from the dream in a city that worships money and status, and is heaven for those who have them an a living nightmare for those who don't.;98;;https://m.media-amazon.com/images/M/MV5BYThjZGVhMzktZjRlNS00NTcwLTk4ZjktMWUzMmU3MTM4YThmXkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_FMjpg_UY480_.jpg 320w"
"Mario Kart Deluxe 8;Racing;Nintendo Switch;2017-04-28;Race and battle your friends in the definitive version of Mario Kart 8. Hit the road with the definitive version of Mario Kart 8 and play anytime, anywhere! Race your friends or battle them in a revised battle mode on new and returning battle courses. Play locally in up to 4-player multiplayer in 1080p while playing in TV Mode. Every track from the Wii U version, including DLC, makes a glorious return. Plus, the Inklings appear as all-new guest characters, along with returning favorites, such as King Boo, Dry Bones, and Bowser Jr. Race your friends in the definitive version of Mario Kart 8, only on Nintendo Switch. ;92;;https://img.g2a.com/323x433/1x1x0/mario-kart-8-deluxe-nintendo-switch-nintendo-key-europe/5b50d0e4ae653a55ce1b52a5"
"Sniper Elite 5;Tactical Shooter;Xbox Series S|X;2022-05-28;As part of a covert US Rangers operation to weaken the Atlantikwall fortifications along the coast of Brittany, Karl makes contact with the French Resistance. Soon they uncover a secret Nazi project that threatens to end the war before the Allies can even invade Europe: Operation Kraken. It's Karl's mission to take out the high-ranking Nazi officers and end Operation Kraken once and for all. Based upon real world locations from France in 1944, the new game maps are the largest and most immersive in the franchise's history with the new traversal system offering players an even greater sandbox of options when it comes to taking out their targets. You can even invite a friend to help you on your mission with enhanced cooperative gameplay options.;;;https://s3.gaming-cdn.com/images/products/9578/271x377/sniper-elite-5-pc-spiel-steam-cover.jpg"
"Dark Souls 3;Action RPG;Playstation 4;2016-04-12;Developed by Japanese developer FromSoftware, DARK SOULS III is the latest chapter in the DARK SOULS series with its trademark sword and sorcery combat and rewarding action RPG gameplay. Players travel across a wide variety of locations in an interconnected world of unrelenting challenge and deep RPG gameplay as they search for a way to survive the coming apocalypse. ;89;;https://store-images.s-microsoft.com/image/apps.24212.71827372323164480.6e97c7d2-899a-404f-8660-d622a7fc9162.daea9ed5-4921-45a6-a188-637bfab7176c?mode=scale&q=90&h=300&w=200"
"Dead Space 3;Action-Adventure;Xbox 360;2013-02-05;Dead Space 3 focuses on Isaac Clarke and merciless soldier John Carver who embark on a journey through space to discover the source of the Necromorph outbreak. Crash-landed on the frozen planet of Tau Volantis, Isaac searches the harsh environment for raw materials and scavenged parts. He then puts his engineering skills to the test to create and customize weapons and survival tools. The ice planet hides the key to ending the Necromorph plague forever, but first Isaac needs to withstand avalanches, treacherous ice-climbs, and the violent wilderness.;78;;https://s2.gaming-cdn.com/images/products/142/271x377/dead-space-3-pc-spiel-origin-cover.jpg"
